variable,dataType,encrypted,description,detail,allowedSuffix,measureUnit,allowedValues,valueInfo,provenance,expectedFileExt
id,id,0,Participant ID,"The participant ID is specific to this study, and is auto-assigned by REDCap.",NA,Integer,"[3000000,3009999],[3080000,3089999],[3090000,3099999]",One ID per participant (eligible and ineligible),"file: ""thriveconsent""; variable: ""record_id""",NA
dersp_scrdDis,redcap_scrd,0,DERS-P distracted score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcadsp_scrdTotal,redcap_scrd,0,RCADS-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcadsp_scrdAnx,redcap_scrd,0,RCADS-P anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcadsp_scrdDep,redcap_scrd,0,RCADS-P depression score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpeqp_scrdOv,redcap_scrd,0,RPEQ-P overt score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpeqp_scrdRel,redcap_scrd,0,RPEQ-P relational subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpeqp_scrdRep,redcap_scrd,0,RPEQ-P reputational subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpeqp_scrdPro,redcap_scrd,0,RPEQ-P prosocial subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsp_scrdEdsEver,redcap_scrd,0,EDS-P ever/never score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsp_scrdEdsFreq,redcap_scrd,0,EDS-P frequency score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsp_scrdEdsChron,redcap_scrd,0,EDS-P chronicity score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsp_scrdHvsEver,redcap_scrd,0,HVS-P ever/never score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
edshvsp_scrdHvsFreq,redcap_scrd,0,HVS-P frequency score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
psbp_scrdTotal,redcap_scrd,0,PSB-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pdsp_scrdFem,redcap_scrd,0,PDS-P female total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pdsp_scrdMal,redcap_scrd,0,PDS-P male total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasp_scrdTotal,redcap_scrd,0,LSAS-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasp_scrdTotAnx,redcap_scrd,0,LSAS-P total anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasp_scrdAnxInt,redcap_scrd,0,LSAS-P interaction anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasp_scrdAnxPer,redcap_scrd,0,LSAS-P performance anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasp_scrdTotAvo,redcap_scrd,0,LSAS-P total avoidance score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasp_scrdAvoInt,redcap_scrd,0,LSAS-P avoidance of interaction score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
lsasp_scrdAvoPer,redcap_scrd,0,LSAS-P avoidance of performance score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
eatq_scrdAC,redcap_scrd,0,EATQ activation control score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
eatq_scrdAff,redcap_scrd,0,EATQ affiliation score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
eatq_scrdAgg,redcap_scrd,0,EATQ aggression score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
eatq_scrdAtt,redcap_scrd,0,EATQ attention score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
eatq_scrdDM,redcap_scrd,0,EATQ depressive mood score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
eatq_scrdFear,redcap_scrd,0,EATQ fear score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
eatq_scrdFrus,redcap_scrd,0,EATQ frustration score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fasap_scrdAcc,redcap_scrd,0,FASA-P accommodation subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fasap_scrdPart,redcap_scrd,0,FASA-P participation subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fasap_scrdMod,redcap_scrd,0,FASA-P modification subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fasap_scrdDist,redcap_scrd,0,FASA-P distress subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fasap_scrdCons,redcap_scrd,0,FASA-P consequences subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rsrip_scrdTotal,redcap_scrd,0,RSI-P score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rsrip_scrdSocSch,redcap_scrd,0,RSI-P social/school score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rsrip_scrdFear,redcap_scrd,0,RSI-P fear/illness score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaredp_scrdTotal,redcap_scrd,0,SCARED-P score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaredp_scrdPan,redcap_scrd,0,SCARED-P panic disorder score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaredp_scrdGA,redcap_scrd,0,SCARED-P generalized anxiety disorder score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaredp_scrdSep,redcap_scrd,0,SCARED-P separation anxiety disorder score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaredp_scrdSA,redcap_scrd,0,SCARED-P social anxiety disorder score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaredp_scrdAvo,redcap_scrd,0,SCARED-P significant school avoidance score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
texip_b_scrdInh,redcap_scrd,0,TEXI-P (v. B) inhibition score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
texip_b_scrdWm,redcap_scrd,0,TEXI-P (v. B) working memory score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
adexi_b_scrdTotal,redcap_scrd,0,ADEXI (v. B) score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
adexi_b_scrdInh,redcap_scrd,0,ADEXI (v. B) inhibition score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
adexi_b_scrdWm,redcap_scrd,0,ADEXI (v. B) working memory score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
bfne_b_parent_scrdTotal,redcap_scrd,0,BFNE (v. B) parent self-report total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
erq_scrdCogRea,redcap_scrd,0,ERQ cognitive reappraisal score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
erq_scrdExpSup,redcap_scrd,0,ERQ expressive suppression score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fpe_parent_scrdTotal,redcap_scrd,0,FPE parent self-report total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
masi_b_parent_scrdTotal,redcap_scrd,0,MASI (v. B) parent-self report total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
masi_b_parent_scrdAccPro,redcap_scrd,0,MASI (v. B) parent self-report pressure to acculturate score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
masi_b_parent_scrdAccCon,redcap_scrd,0,MASI (v. B) parent self-report pressure against acculturation score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
phq8_scrdTotal,redcap_scrd,0,PHQ8 total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pints_parent_scrdTotal,redcap_scrd,0,PINTS parent self-report total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pss_scrdTotal,redcap_scrd,0,PSS total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaared_b_scrdTotal,redcap_scrd,0,SCAARED (v. B) score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaared_b_scrdPaSo,redcap_scrd,0,SCAARED (v. B) panic disorder score,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaared_b_scrdGA,redcap_scrd,0,SCAARED (v. B) generalized anxiety score,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaared_b_scrdSep,redcap_scrd,0,SCAARED (v. B) separation anxiety score,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
scaared_b_scrdSoc,redcap_scrd,0,SCAARED (v. B) social phobias score,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
via_parent_scrdHer,redcap_scrd,0,VIA parent self-report heritage score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
via_parent_scrdMain,redcap_scrd,0,VIA parent self-report mainstream score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpbip_scrdAcc,redcap_scrd,0,RPBI-P acceptance score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rpbip_scrdPsyC,redcap_scrd,0,RPBI-P psychological control score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pidentityiqs,parent_identity,0,"Parent identity status, IQS","When data is transferred from raw to checked, value of 8 is assigned based on the value of parent ID = 308XXXX; value of 9 is assigned based on the value of parent ID = 309XXXX","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 8, 9","NA, status unknown | 8, primary parent | 9, secondary parent","file: ""iqsparent""; variable: ""record_id""",NA
pidentitybbs,parent_identity,0,"Parent identity status, BBS","When data is transferred from raw to checked, value of 8 is assigned based on the value of parent ID = 308XXXX; value of 9 is assigned based on the value of parent ID = 309XXXX","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 8, 9","NA, status unknown | 8, primary parent | 9, secondary parent","file: ""bbsparent""; variable: ""record_id""",NA
plangiqs,parent_lang,0,"Parent language status, IQS","When data is transferred from raw to checked, value of 1 is assigned based on the value of iqspaid_lang_s1_r1_e1 = 1 (English); value of 2 is assigned based on the value of  iqspaid_lang_s1_r1_e1 = 2 (Spanish)","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 1, 2","NA, status unknown | 1, English | 2, Spanish","file: ""iqsparent""; variable: ""iqspaid_lang""",NA
plangbbs,parent_lang,0,"Parent language status, BBS","When data is transferred from raw to checked, value of 1 is assigned based on the value of bbspaid_lang_s1_r1_e1 = 1 (English); value of 2 is assigned based on the value of  bbspaid_lang_s1_r1_e1 = 2 (Spanish)","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 1, 2","NA, status unknown | 1, English | 2, Spanish","file: ""bbsparent""; variable: ""bbspaid_lang""",NA
all_eeg_preprocessing_finished,eeg_preprocessing_status,0,Status of EEG preprocessing,,"s1_r1_e1, s2_r1_e1, s3_r1_e2",Logical,"NA, 0, 1","NA, status unknown (EEG data doesn't exist) | 0, Preprocessing not finished | 1, Preprocessing finished",code-MADE-pipeline,NA
any_usable_data,eeg_preprocessing_status,0,Status of EEG data after preprocessing,,"s1_r1_e1, s2_r1_e1, s3_r1_e3",Logical,"NA, 0, 1","NA, status unknown (EEG data doesn't exist) | 0, Useable data does not exist| 1, Useable data exists",code-MADE-pipeline,NA
total_epochs_after_artifact_rejection,eeg_preprocessing_status,0,Number of epochs remaining after artifact rejection,,"s1_r1_e1, s2_r1_e1, s3_r1_e4",Logical,"NA, [0,3000]","NA, status unknown (EEG data doesn't exist) | [0,3000] Number of epochs remaining after artifact rejection",code-MADE-pipeline,NA
